pd,pb
1.405227295223920592e-01,1.255884590697098624e-01
2.631057154126372200e-01,3.044084495592248030e-01
2.233957887515890806e-01,2.379730442603189833e-01
1.381540199717718742e-01,1.129208815197421112e-01
1.721408633212991590e-01,1.680936489643181098e-01
2.258016868502116248e-01,2.432384194305143021e-01
1.990389897253524720e-01,2.074419285963477189e-01
2.776227700780427576e-01,3.293830741848214338e-01
2.510947589811137748e-01,2.967395322710439931e-01
2.484317321506993581e-01,2.785775091418278282e-01
1.787970968275195693e-01,1.843926891523138267e-01
9.304277440987976378e-02,7.292805986068470747e-02
1.420031125582396914e-01,1.294914865980595353e-01
3.719555543049406915e-02,4.902380633070330118e-03
7.411903373486339319e-02,5.091516878431080750e-02
1.175505254729187904e-01,9.355426654223938931e-02
1.905987014338434982e-01,1.897771921787060889e-01
1.854281502940047788e-01,1.864388942333392862e-01
2.942409952446500832e-01,3.619534669866680265e-01
3.917986631270753972e-01,5.827115442744693619e-01
4.341218090932862372e-01,6.915853419470028296e-01
4.262461953014737293e-01,6.740201054678707226e-01
3.743981368049198455e-01,5.430096164987032736e-01
4.084048636019873002e-01,6.320056369789686102e-01
4.126260492024892423e-01,6.596106116142685938e-01
3.786360315369043383e-01,5.560362437091483923e-01
2.917600683555969243e-01,3.778468420334307187e-01
3.441489599042028558e-01,4.620827647601962740e-01
3.812429637924942272e-01,5.608163360614613069e-01
4.363632910888974870e-01,7.141705399661203435e-01
3.102010726595403889e-01,4.006784115373689947e-01
3.285847912305694396e-01,4.366585345675617069e-01
2.845664891261117657e-01,3.409284873643308456e-01
2.776386915749024520e-01,3.328070596840816964e-01
2.950894018779506855e-01,3.669979541130425349e-01
3.631021846196670344e-01,5.115915802265058598e-01
4.106397943567937081e-01,6.330306633070060807e-01
3.806460144263446588e-01,5.592138820450521797e-01
2.773792934374983976e-01,3.440438757114941959e-01
2.004240533245083833e-01,2.093575217830525581e-01
2.394922503870291486e-01,2.710868303466022478e-01
2.656782852158803832e-01,3.181718964498699287e-01
2.521748232514773314e-01,2.823039293754986412e-01
2.729543388257221759e-01,3.227960201444158295e-01
3.251095393990401372e-01,4.285340925198458661e-01
3.021021872813670628e-01,3.792848487979342820e-01
3.769320216670271617e-01,5.416652435830531243e-01
4.136377009197395038e-01,6.424913866195698375e-01
2.858408942690159882e-01,3.550776384180920897e-01
2.640746028634695097e-01,3.095139138175931337e-01
2.794702911640204457e-01,3.657964552277344628e-01
3.310462821003899436e-01,4.359664629736680341e-01
2.881915275927758868e-01,3.555384992414801770e-01
3.146393533376984353e-01,4.077364183442084844e-01
2.786842815011584817e-01,3.409269730531186982e-01
3.083206709274158297e-01,3.856527378717690691e-01
3.387975602278243126e-01,4.578625176315353484e-01
3.628158587676672542e-01,5.163967845826734626e-01
3.697865194566657410e-01,5.386013342406178461e-01
4.379315330296074671e-01,7.160594923419685287e-01
4.287807228230087753e-01,6.836859052103749779e-01
4.031797358391092101e-01,6.151326880351707382e-01
3.696255619981355101e-01,5.274394982262187170e-01
3.797165990852967021e-01,5.501114894542152856e-01
3.907658040242310005e-01,5.828474506360912244e-01
3.508343009228824250e-01,4.819303483166342272e-01
2.789618118270122404e-01,3.393475446689971919e-01
3.213328532427476847e-01,4.450382249167476045e-01
2.704135680785531570e-01,3.352349032530210216e-01
1.845109755873110546e-01,1.786074837891908629e-01
1.174593203266132008e-01,9.302609086702469388e-02
1.768249846625041810e-01,1.782695841047595153e-01
2.696191813281264560e-01,3.112183505752116330e-01
1.118772294583695592e-01,8.567455466805720676e-02
1.175849939631963270e-01,9.337629890480944606e-02
1.809566500242627274e-01,1.725685064918480172e-01
1.314501770448894824e-01,1.191114975151749550e-01
1.782091710951730912e-01,1.723731920112219762e-01
1.308114244903409440e-01,1.128513083220587382e-01
2.135606836008864251e-01,2.358419519158932998e-01
2.407487258943802333e-01,2.777939057360306330e-01
1.907245303593192165e-01,1.966676363897747470e-01
2.421014856588436515e-01,2.774451711653966868e-01
1.062053649339542716e-01,8.683986143173283434e-02
1.474568664052009759e-01,1.298886428135726523e-01
8.759998516055252094e-02,5.861931488263618512e-02
9.907272441341231917e-02,7.057441602373151768e-02
9.856671845370088003e-02,6.956359501689643454e-02
